Disease,Category,Symptoms,Vaccine_Available,Vaccine_Name,Reason
Neisseria gonorrhoeae,Bacteria,malaise; chills; stiffness; back pain; weakness; fever,No,,Rapid antibiotic resistance and immune evasion
Diphtheria,Disease,weight loss; night sweats; fatigue; fever,Yes,Tdap Vaccine,
Japanese Encephalitis Virus,Virus,fatigue; night sweats; headache,No,,Vaccine development not prioritized
Ebola,Disease,fever; night sweats; chills; weight loss; malaise; fatigue,No,,Rare outbreaks and safety concerns limit widespread vaccine availability
Pneumonia,Disease,wheezing; fatigue; chest pain; shortness of breath,Yes,Pneumococcal Vaccine,
Chickenpox,Disease,fatigue; chills; weight loss; fever; malaise; night sweats,Yes,Varicella Vaccine,
Neisseria meningitidis,Bacteria,chills; swelling; fatigue; weight loss,Yes,Meningococcal Vaccine,
Chickenpox,Disease,weight loss; fatigue; chills; fever,Yes,Varicella Vaccine,
Stroke,Disorder,malaise; fatigue; fever; weight loss,No,,"Caused by various risk factors, not a single pathogen"
Pituitary Disorders,Disorder,chills; fatigue; fever; weight loss,No,,Endocrine disorders
Attention Deficit Hyperactivity Disorder,Disorder,weight loss; malaise; fever; fatigue,No,,Vaccine development not prioritized
Botulism,Disease,fever; fatigue; chills,No,,Vaccine development not prioritized
Dengue,Disease,fever; malaise; chills; fatigue; weight loss,Limited,Dengvaxia,Vaccine available but restricted to specific populations due to safety concerns
Hepatitis Viruses,Virus,headache; numbness; tingling; fatigue; confusion,No,,Vaccine development not prioritized
Adenovirus,Virus,malaise; fatigue; dizziness; chills; headache,Limited,Military Adenovirus Vaccine,Limited to specific strains and populations
Post-Traumatic Stress Disorder,Disorder,weight loss; fatigue; chills; fever; malaise,No,,Vaccine development not prioritized
Pertussis,Disease,chills; malaise; fever; night sweats,Yes,Tdap Vaccine,
Depression,Disorder,night sweats; weight loss; fever; fatigue; malaise; chills,No,,Mental health condition with multiple causes
Staphylococcus aureus,Bacteria,malaise; fatigue; stiffness; weakness; muscle pain,No,,Bacteria has multiple strains and toxin variants
Borrelia burgdorferi,Bacteria,fever; weight loss; back pain; stiffness; fatigue,No,,Previous vaccine withdrawn due to concerns
Lyme Disease,Disease,night sweats; chills; malaise,No,,Previous vaccine withdrawn due to safety concerns and low demand
Pertussis,Disease,fatigue; weight loss; night sweats; chills; fever; malaise,Yes,Tdap Vaccine,
Osteoporosis,Disorder,fatigue; fever; chills; weight loss; night sweats; malaise,No,,Bone density disorder from aging and lifestyle
Pneumonia,Disease,fever; wheezing; cough,Yes,Pneumococcal Vaccine,
Chronic Obstructive Pulmonary Disease,Disorder,night sweats; malaise; fever; chills,No,,Vaccine development not prioritized
Cholera,Disease,loss of appetite; abdominal pain; nausea; constipation,Yes,Cholera Vaccine,
Chronic Obstructive Pulmonary Disease,Disorder,fever; chills; weight loss; fatigue; malaise,No,,Vaccine development not prioritized
Pseudomonas aeruginosa,Bacteria,weight loss; chills; stiffness; joint pain; muscle pain,No,,Opportunistic pathogen in immunocompromised patients
Human Papillomavirus,Virus,rash; itching; hair loss; dry skin,Yes,HPV Vaccine,
Shigella,Bacteria,weight loss; weakness; night sweats; malaise; muscle pain; fatigue,No,,Multiple serotypes and limited research
Haemophilus influenzae,Bacteria,back pain; malaise; stiffness; joint pain; weight loss; swelling,Yes,Hib Vaccine,
Lyme Disease,Disease,weight loss; chills; fever; fatigue; malaise; night sweats,No,,Previous vaccine withdrawn due to safety concerns and low demand
Vibrio cholerae,Bacteria,swelling; fever; weight loss; night sweats; muscle pain,Yes,Cholera Vaccine,
Adrenal Disorders,Disorder,malaise; fever; weight loss; fatigue,No,,Endocrine disorders
Botulism,Disease,night sweats; fatigue; chills; fever,No,,Vaccine development not prioritized
Influenza Viruses,Virus,night sweats; memory loss; tingling; numbness; seizures,No,,Vaccine development not prioritized
Escherichia coli,Bacteria,joint pain; weight loss; back pain; swelling,Limited,Travelers' Diarrhea Vaccine,Limited to specific strains
Tuberculosis,Disease,weight loss; malaise; night sweats; fatigue,Yes,BCG Vaccine,
Haemophilus influenzae,Bacteria,back pain; weakness; chills; swelling; muscle pain; stiffness,Yes,Hib Vaccine,
Stroke,Disorder,night sweats; fatigue; weight loss; fever,No,,"Caused by various risk factors, not a single pathogen"
Neisseria gonorrhoeae,Bacteria,muscle pain; back pain; weakness; malaise; swelling; night sweats,No,,Rapid antibiotic resistance and immune evasion
Dengue Virus,Virus,seizures; fatigue; memory loss; fatigue; headache; weight loss,No,,Vaccine development not prioritized
Acinetobacter baumannii,Bacteria,joint pain; fatigue; night sweats; weight loss; muscle pain; chills,No,,Hospital-acquired infection with multiple strains
Autism Spectrum Disorder,Disorder,night sweats; fatigue; malaise,No,,Vaccine development not prioritized
Lyme Disease,Disease,night sweats; fatigue; fever; malaise,No,,Previous vaccine withdrawn due to safety concerns and low demand
Francisella tularensis,Bacteria,swelling; weight loss; back pain; muscle pain,No,,Rare bacterial infection
Autism Spectrum Disorder,Disorder,chills; malaise; night sweats; fever; weight loss; fatigue,No,,Vaccine development not prioritized
Mycobacterium leprae,Bacteria,fatigue; night sweats; weight loss; fever,No,,Limited global incidence
MERS,Disease,malaise; night sweats; fatigue; chills; fever; weight loss,No,,Limited outbreaks and research funding constraints
Cytomegalovirus,Virus,seizures; weight loss; fatigue; memory loss; fever,No,,Common virus with complex immune interactions
Anxiety,Disorder,night sweats; fatigue; malaise,No,,Mental health disorder
Borrelia burgdorferi,Bacteria,fatigue; back pain; swelling; weight loss; fever; night sweats,No,,Previous vaccine withdrawn due to concerns
Rubella,Disease,chills; weight loss; malaise; night sweats; fever; fatigue,Yes,MMR Vaccine,
Meningitis,Disease,night sweats; fatigue; chills,Yes,Meningococcal Vaccine,
Bacillus anthracis,Bacteria,fever; night sweats; joint pain,Yes,Anthrax Vaccine,
Encephalitis,Disease,fatigue; night sweats; fever; weight loss; chills,No,,Vaccine development not prioritized
Tularemia,Disease,chills; fatigue; night sweats; fever,No,,Vaccine development not prioritized
Typhoid,Disease,constipation; nausea; diarrhea; abdominal pain; bloating; vomiting,Yes,Typhoid Vaccine,
Thyroid Disorders,Disorder,fatigue; weight loss; night sweats; malaise; fever,No,,Endocrine disorders from various causes
Rubella,Disease,fever; weight loss; fatigue; malaise,Yes,MMR Vaccine,
Plague,Disease,fatigue; chills; night sweats; weight loss,No,,Vaccine development not prioritized
Schizophrenia,Disorder,malaise; chills; fever; weight loss,No,,Severe mental health disorder
Shingles,Disease,weight loss; chills; fatigue; fever,No,,Vaccine development not prioritized
Neisseria meningitidis,Bacteria,back pain; chills; joint pain,Yes,Meningococcal Vaccine,
Typhoid,Disease,nausea; bloating; loss of appetite; vomiting; diarrhea; abdominal pain,Yes,Typhoid Vaccine,
Pertussis,Disease,malaise; fatigue; weight loss; fever; night sweats; chills,Yes,Tdap Vaccine,
Obsessive Compulsive Disorder,Disorder,malaise; night sweats; chills; weight loss; fever,No,,Vaccine development not prioritized
Human Papillomavirus,Virus,hair loss; rash; dry skin; itching,Yes,HPV Vaccine,
Encephalitis,Disease,fatigue; night sweats; chills; fever; malaise,No,,Vaccine development not prioritized
Pertussis,Disease,fatigue; fever; weight loss; malaise,Yes,Tdap Vaccine,
Legionella pneumophila,Bacteria,chills; weakness; swelling; night sweats,No,,Environmental bacterium with limited human cases
Staphylococcus aureus,Bacteria,night sweats; weakness; joint pain; back pain,No,,Bacteria has multiple strains and toxin variants
Shigella,Bacteria,fever; malaise; weight loss; weakness,No,,Multiple serotypes and limited research
Arthritis,Disorder,muscle pain; weakness; stiffness,No,,Autoimmune and degenerative joint condition
Rhinovirus,Virus,numbness; confusion; fever; seizures; weight loss,No,,Over 100 serotypes make vaccine impractical
SARS,Disease,malaise; fatigue; fever,No,,"Disease eradicated in humans, no ongoing need for vaccine"
Treponema pallidum,Bacteria,night sweats; chills; stiffness; malaise; muscle pain; joint pain,No,,Complex immune evasion mechanisms
Chikungunya Virus,Virus,malaise; seizures; memory loss; confusion; weight loss; fatigue,No,,Vaccine development not prioritized
Migraine,Disorder,weight loss; chills; fever,No,,Neurological headache disorder
Acinetobacter baumannii,Bacteria,fever; malaise; stiffness; joint pain; muscle pain; weight loss,No,,Hospital-acquired infection with multiple strains
Migraine,Disorder,night sweats; fatigue; malaise; fever; weight loss; chills,No,,Neurological headache disorder
Hepatitis A,Disease,night sweats; weight loss; fatigue; malaise; fever; chills,Yes,Hepatitis A Vaccine,
Clostridium difficile,Bacteria,joint pain; stiffness; fatigue,No,,Bacterial toxin-mediated disease
Post-Traumatic Stress Disorder,Disorder,malaise; fatigue; weight loss,No,,Vaccine development not prioritized
Dengue Virus,Virus,night sweats; fatigue; headache,No,,Vaccine development not prioritized
Pituitary Disorders,Disorder,fever; weight loss; chills; malaise; night sweats; fatigue,No,,Endocrine disorders
Dengue Virus,Virus,dizziness; numbness; headache,No,,Vaccine development not prioritized
Autism Spectrum Disorder,Disorder,malaise; night sweats; chills; fever,No,,Vaccine development not prioritized
Chickenpox,Disease,chills; weight loss; night sweats,Yes,Varicella Vaccine,
Zika Virus,Disease,night sweats; fever; fatigue,No,,Ongoing research with no approved vaccine yet due to multiple strains
Attention Deficit Hyperactivity Disorder,Disorder,night sweats; weight loss; fever; fatigue; malaise; chills,No,,Vaccine development not prioritized
Pseudomonas aeruginosa,Bacteria,night sweats; chills; muscle pain; back pain; fatigue,No,,Opportunistic pathogen in immunocompromised patients
Diabetes Mellitus,Disorder,fever; fatigue; night sweats,No,,Vaccine development not prioritized
Botulism,Disease,malaise; fatigue; chills; fever,No,,Vaccine development not prioritized
Dengue Virus,Virus,seizures; headache; malaise; memory loss; fatigue; confusion,No,,Vaccine development not prioritized
Alzheimer's Disease,Disorder,fever; weight loss; chills; fatigue,No,,Neurodegenerative disease with complex causes
Norovirus,Virus,dizziness; fatigue; weight loss; fatigue,No,,Rapidly evolving virus with many strains
Clostridium difficile,Bacteria,muscle pain; fever; night sweats; joint pain; swelling; back pain,No,,Bacterial toxin-mediated disease
Neisseria gonorrhoeae,Bacteria,fever; joint pain; weakness; malaise; weight loss; back pain,No,,Rapid antibiotic resistance and immune evasion
Norovirus,Virus,headache; numbness; fever; fatigue; dizziness; fatigue,No,,Rapidly evolving virus with many strains
Parkinson's Disease,Disorder,weight loss; fatigue; fever,No,,Progressive neurological disorder
Mumps,Disease,chills; night sweats; malaise; fatigue; weight loss; fever,Yes,MMR Vaccine,
Human Papillomavirus,Virus,hair loss; redness; itching; rash; blisters,Yes,HPV Vaccine,
Acinetobacter baumannii,Bacteria,muscle pain; weakness; stiffness; joint pain; weight loss,No,,Hospital-acquired infection with multiple strains
COVID-19,Disease,fatigue; chills; malaise; fever; night sweats,Yes,COVID-19 Vaccine,
MERS,Disease,malaise; night sweats; chills; weight loss,No,,Limited outbreaks and research funding constraints
West Nile Virus,Virus,chills; fatigue; dizziness; seizures,No,,Limited human cases and complex transmission cycle
Streptococcus pneumoniae,Bacteria,sore throat; chest pain; runny nose,Yes,Pneumococcal Vaccine,
Swine Flu,Disease,runny nose; shortness of breath; fatigue,No,,"Similar to seasonal flu, covered by existing influenza vaccines"
Hypertension,Disorder,weight loss; malaise; chills,No,,"Lifestyle and genetic factors, not infectious"
Enterococcus faecalis,Bacteria,muscle pain; fever; night sweats; joint pain; back pain; weight loss,No,,Common hospital-acquired infection
Legionella pneumophila,Bacteria,stiffness; weakness; muscle pain; fever; malaise,No,,Environmental bacterium with limited human cases
Anthrax,Disease,malaise; night sweats; chills,No,,Vaccine development not prioritized
COVID-19,Disease,fever; weight loss; fatigue; night sweats; malaise,Yes,COVID-19 Vaccine,
Migraine,Disorder,weight loss; chills; fever; fatigue; night sweats,No,,Neurological headache disorder
Escherichia coli,Bacteria,malaise; fatigue; chills,Limited,Travelers' Diarrhea Vaccine,Limited to specific strains
Human Immunodeficiency Virus,Virus,tingling; weight loss; memory loss; seizures,No,,Vaccine development not prioritized
Campylobacter,Bacteria,joint pain; malaise; weight loss; weakness; stiffness,No,,Complex bacterial structure
Migraine,Disorder,fatigue; night sweats; weight loss,No,,Neurological headache disorder
Klebsiella pneumoniae,Bacteria,cough; wheezing; sore throat; chest pain,No,,Antibiotic-resistant hospital pathogen
Mumps,Disease,fever; fatigue; weight loss,Yes,MMR Vaccine,
Bacillus anthracis,Bacteria,back pain; fatigue; malaise,Yes,Anthrax Vaccine,
Japanese Encephalitis Virus,Virus,headache; fever; malaise; confusion; weight loss; chills,No,,Vaccine development not prioritized
Ebola,Disease,weight loss; fatigue; chills; night sweats,No,,Rare outbreaks and safety concerns limit widespread vaccine availability
Diphtheria,Disease,fever; malaise; night sweats; weight loss,Yes,Tdap Vaccine,
Avian Flu,Disease,cough; wheezing; fever; sore throat; runny nose; shortness of breath,No,,Rapid mutation and limited human transmission
Clostridium botulinum,Bacteria,joint pain; weakness; fever; chills; fatigue; stiffness,No,,"Toxin-mediated disease, limited cases"
Zika Virus,Virus,confusion; seizures; weight loss; fatigue,No,,Ongoing research with no approved vaccine yet due to multiple strains
Borrelia burgdorferi,Bacteria,swelling; fatigue; back pain; stiffness; malaise; chills,No,,Previous vaccine withdrawn due to concerns
Zika Virus,Disease,weight loss; fever; night sweats; chills,No,,Ongoing research with no approved vaccine yet due to multiple strains
Asthma,Disorder,chills; malaise; night sweats,No,,"Allergic inflammatory condition, not infectious"
Yersinia pestis,Bacteria,fever; night sweats; fatigue; joint pain; muscle pain,No,,Rare disease with limited research
Shingles,Disease,chills; fever; weight loss; malaise; night sweats; fatigue,No,,Vaccine development not prioritized
Neisseria meningitidis,Bacteria,fatigue; fever; back pain; night sweats; weight loss; chills,Yes,Meningococcal Vaccine,
Sleep Disorders,Disorder,night sweats; fever; fatigue; chills,No,,Various causes including lifestyle and medical conditions
Varicella-Zoster Virus,Virus,malaise; fatigue; weight loss; fatigue; seizures,No,,Vaccine development not prioritized
Pituitary Disorders,Disorder,fatigue; malaise; night sweats; chills; fever; weight loss,No,,Endocrine disorders
Hypertension,Disorder,fever; weight loss; chills; night sweats; malaise,No,,"Lifestyle and genetic factors, not infectious"
Acinetobacter baumannii,Bacteria,joint pain; fever; night sweats; stiffness; back pain; chills,No,,Hospital-acquired infection with multiple strains
Norovirus,Virus,memory loss; confusion; fatigue; tingling; seizures; headache,No,,Rapidly evolving virus with many strains
Epilepsy,Disorder,fever; chills; fatigue; night sweats; weight loss,No,,Neurological disorder from various causes
Hypertension,Disorder,chills; fatigue; fever; weight loss; malaise,No,,"Lifestyle and genetic factors, not infectious"
Malaria,Disease,malaise; chills; night sweats,No,,Complex parasite lifecycle and multiple strains
Shigella,Bacteria,weight loss; back pain; night sweats; chills; muscle pain; malaise,No,,Multiple serotypes and limited research
Dengue,Disease,malaise; night sweats; fatigue,Limited,Dengvaxia,Vaccine available but restricted to specific populations due to safety concerns
Bronchitis,Disease,fatigue; fever; malaise,No,,Vaccine development not prioritized
Avian Flu,Disease,chest pain; sore throat; fatigue; fever,No,,Rapid mutation and limited human transmission
Eating Disorders,Disorder,weight loss; fatigue; chills,No,,Mental health and behavioral disorders
Stroke,Disorder,night sweats; fever; weight loss; fatigue; malaise; chills,No,,"Caused by various risk factors, not a single pathogen"
Chronic Obstructive Pulmonary Disease,Disorder,night sweats; fever; malaise,No,,Vaccine development not prioritized
Clostridium botulinum,Bacteria,joint pain; swelling; fever; malaise,No,,"Toxin-mediated disease, limited cases"
Chikungunya Virus,Virus,tingling; night sweats; seizures; weight loss; memory loss; numbness,No,,Vaccine development not prioritized
Polio,Disease,malaise; fatigue; weight loss,Yes,Polio Vaccine,
Varicella-Zoster Virus,Virus,dizziness; night sweats; fever; confusion; headache,No,,Vaccine development not prioritized
Cytomegalovirus,Virus,weight loss; numbness; dizziness; tingling,No,,Common virus with complex immune interactions
Chikungunya Virus,Virus,headache; numbness; fever; seizures; weight loss; fatigue,No,,Vaccine development not prioritized
Encephalitis,Disease,fever; malaise; night sweats; fatigue,No,,Vaccine development not prioritized
Stroke,Disorder,chills; weight loss; fatigue; malaise; night sweats; fever,No,,"Caused by various risk factors, not a single pathogen"
Parkinson's Disease,Disorder,chills; fever; night sweats; malaise; fatigue,No,,Progressive neurological disorder
Adrenal Disorders,Disorder,fever; malaise; weight loss; night sweats,No,,Endocrine disorders
MERS,Disease,weight loss; chills; night sweats; fever; malaise; fatigue,No,,Limited outbreaks and research funding constraints
Tularemia,Disease,fatigue; night sweats; fever,No,,Vaccine development not prioritized
Depression,Disorder,fever; malaise; night sweats,No,,Mental health condition with multiple causes
Campylobacter,Bacteria,stiffness; chills; malaise; joint pain; fever; fatigue,No,,Complex bacterial structure
Botulism,Disease,night sweats; fever; malaise; chills; fatigue; weight loss,No,,Vaccine development not prioritized
COVID-19,Disease,fever; malaise; chills; weight loss,Yes,COVID-19 Vaccine,
MERS,Disease,malaise; fever; chills,No,,Limited outbreaks and research funding constraints
Lyme Disease,Disease,fever; weight loss; night sweats,No,,Previous vaccine withdrawn due to safety concerns and low demand
Polio,Disease,chills; fever; fatigue; malaise; weight loss; night sweats,Yes,Polio Vaccine,
Shingles,Disease,fatigue; malaise; weight loss,No,,Vaccine development not prioritized
Obsessive Compulsive Disorder,Disorder,chills; fatigue; malaise; fever,No,,Vaccine development not prioritized
Tularemia,Disease,fever; malaise; night sweats; fatigue; weight loss; chills,No,,Vaccine development not prioritized
Clostridium botulinum,Bacteria,joint pain; stiffness; malaise,No,,"Toxin-mediated disease, limited cases"
Attention Deficit Hyperactivity Disorder,Disorder,malaise; weight loss; night sweats,No,,Vaccine development not prioritized
Chikungunya Virus,Virus,memory loss; night sweats; seizures,No,,Vaccine development not prioritized
Rhinovirus,Virus,memory loss; fever; numbness; night sweats; fatigue,No,,Over 100 serotypes make vaccine impractical
Cholera,Disease,diarrhea; constipation; bloating; abdominal pain; vomiting; loss of appetite,Yes,Cholera Vaccine,
Adenovirus,Virus,seizures; chills; night sweats; fever; fatigue,Limited,Military Adenovirus Vaccine,Limited to specific strains and populations
Acinetobacter baumannii,Bacteria,night sweats; stiffness; weakness,No,,Hospital-acquired infection with multiple strains
Coronavirus,Virus,night sweats; headache; memory loss; malaise; weight loss; confusion,No,,Vaccine development not prioritized
Typhoid,Disease,loss of appetite; bloating; nausea,Yes,Typhoid Vaccine,
Hepatitis A,Disease,fever; weight loss; fatigue,Yes,Hepatitis A Vaccine,
Parkinson's Disease,Disorder,weight loss; night sweats; fatigue; chills,No,,Progressive neurological disorder
Parkinson's Disease,Disorder,fatigue; fever; chills; weight loss; night sweats; malaise,No,,Progressive neurological disorder
Meningitis,Disease,weight loss; night sweats; chills; fatigue; fever; malaise,Yes,Meningococcal Vaccine,
Bipolar Disorder,Disorder,weight loss; fever; night sweats; fatigue; malaise,No,,Mental health condition
Vibrio cholerae,Bacteria,fever; joint pain; night sweats; fatigue; chills,Yes,Cholera Vaccine,
Parkinson's Disease,Disorder,chills; malaise; fever; night sweats; fatigue; weight loss,No,,Progressive neurological disorder
Borrelia burgdorferi,Bacteria,joint pain; weakness; back pain; muscle pain; malaise,No,,Previous vaccine withdrawn due to concerns
Smallpox,Disease,weight loss; night sweats; fever; malaise; chills; fatigue,No,,Vaccine development not prioritized
Osteoporosis,Disorder,chills; night sweats; malaise; fever; weight loss,No,,Bone density disorder from aging and lifestyle
Chikungunya Virus,Virus,seizures; fatigue; weight loss; malaise; fever,No,,Vaccine development not prioritized
Migraine,Disorder,fatigue; malaise; chills; fever,No,,Neurological headache disorder
Adenovirus,Virus,night sweats; chills; seizures; headache,Limited,Military Adenovirus Vaccine,Limited to specific strains and populations
Human Immunodeficiency Virus,Virus,fever; seizures; fatigue; chills; fatigue,No,,Vaccine development not prioritized
Chronic Obstructive Pulmonary Disease,Disorder,fatigue; malaise; chills; weight loss; night sweats,No,,Vaccine development not prioritized
Treponema pallidum,Bacteria,weakness; fever; swelling; malaise; joint pain,No,,Complex immune evasion mechanisms
Mumps,Disease,fatigue; chills; night sweats,Yes,MMR Vaccine,
West Nile Virus,Disease,weight loss; fatigue; malaise; night sweats; chills; fever,No,,Limited human cases and complex transmission cycle
Dengue Virus,Virus,chills; tingling; night sweats,No,,Vaccine development not prioritized
Enterococcus faecalis,Bacteria,joint pain; back pain; fever,No,,Common hospital-acquired infection
Autism Spectrum Disorder,Disorder,chills; weight loss; malaise,No,,Vaccine development not prioritized
Influenza Viruses,Virus,headache; memory loss; tingling; fatigue; fatigue; malaise,No,,Vaccine development not prioritized
Mycobacterium leprae,Bacteria,muscle pain; fatigue; fever; malaise; back pain,No,,Limited global incidence
Tularemia,Disease,weight loss; night sweats; chills; fever; malaise,No,,Vaccine development not prioritized
Epilepsy,Disorder,night sweats; chills; fever; weight loss; fatigue; malaise,No,,Neurological disorder from various causes
Human Papillomavirus,Virus,rash; blisters; itching,Yes,HPV Vaccine,
Osteoporosis,Disorder,chills; malaise; weight loss,No,,Bone density disorder from aging and lifestyle
Osteoporosis,Disorder,fatigue; malaise; fever; chills,No,,Bone density disorder from aging and lifestyle
Dengue Virus,Virus,confusion; tingling; night sweats,No,,Vaccine development not prioritized
Rubella,Disease,fever; night sweats; fatigue; malaise; weight loss,Yes,MMR Vaccine,
Mycobacterium leprae,Bacteria,night sweats; stiffness; weakness; malaise; joint pain; swelling,No,,Limited global incidence
MERS,Disease,night sweats; malaise; weight loss; fatigue; fever; chills,No,,Limited outbreaks and research funding constraints
Adrenal Disorders,Disorder,malaise; weight loss; night sweats,No,,Endocrine disorders
Encephalitis,Disease,chills; malaise; fatigue; night sweats,No,,Vaccine development not prioritized
Encephalitis,Disease,chills; fever; weight loss; malaise; fatigue; night sweats,No,,Vaccine development not prioritized
Japanese Encephalitis Virus,Virus,numbness; dizziness; seizures; chills; confusion,No,,Vaccine development not prioritized
Dengue Virus,Virus,weight loss; dizziness; night sweats; numbness; tingling,No,,Vaccine development not prioritized
Diphtheria,Disease,chills; night sweats; malaise,Yes,Tdap Vaccine,
Escherichia coli,Bacteria,back pain; swelling; fever; malaise; weakness,Limited,Travelers' Diarrhea Vaccine,Limited to specific strains
Alzheimer's Disease,Disorder,chills; night sweats; fever,No,,Neurodegenerative disease with complex causes
Treponema pallidum,Bacteria,weakness; fever; joint pain; chills,No,,Complex immune evasion mechanisms
Hypertension,Disorder,malaise; chills; weight loss; fatigue; night sweats,No,,"Lifestyle and genetic factors, not infectious"
Borrelia burgdorferi,Bacteria,muscle pain; chills; stiffness,No,,Previous vaccine withdrawn due to concerns
West Nile Virus,Disease,chills; night sweats; weight loss,No,,Limited human cases and complex transmission cycle
Hepatitis A,Disease,fever; malaise; chills; night sweats; fatigue,Yes,Hepatitis A Vaccine,
Respiratory Syncytial Virus,Virus,runny nose; fever; wheezing; shortness of breath; sore throat; cough,No,,Previous vaccine trials showed safety concerns
Adrenal Disorders,Disorder,fever; malaise; chills; fatigue; weight loss; night sweats,No,,Endocrine disorders
Haemophilus influenzae,Bacteria,swelling; weakness; back pain,Yes,Hib Vaccine,
Eating Disorders,Disorder,weight loss; malaise; fever; chills; fatigue,No,,Mental health and behavioral disorders
Haemophilus influenzae,Bacteria,chills; fatigue; muscle pain,Yes,Hib Vaccine,
Acinetobacter baumannii,Bacteria,back pain; weakness; muscle pain; malaise; swelling,No,,Hospital-acquired infection with multiple strains
Chronic Obstructive Pulmonary Disease,Disorder,weight loss; night sweats; malaise,No,,Vaccine development not prioritized
Eating Disorders,Disorder,chills; night sweats; malaise; weight loss,No,,Mental health and behavioral disorders
Pneumonia,Disease,wheezing; shortness of breath; chest pain; sore throat; cough,Yes,Pneumococcal Vaccine,
MERS,Disease,chills; fatigue; weight loss,No,,Limited outbreaks and research funding constraints
Human Immunodeficiency Virus,Virus,chills; dizziness; weight loss; headache; memory loss; fatigue,No,,Vaccine development not prioritized
Osteoporosis,Disorder,malaise; night sweats; chills,No,,Bone density disorder from aging and lifestyle
Lyme Disease,Disease,malaise; chills; night sweats; fever; weight loss,No,,Previous vaccine withdrawn due to safety concerns and low demand
Meningitis,Disease,weight loss; malaise; night sweats,Yes,Meningococcal Vaccine,
Respiratory Syncytial Virus,Virus,fatigue; runny nose; chest pain; cough,No,,Previous vaccine trials showed safety concerns
West Nile Virus,Virus,malaise; headache; weight loss; confusion,No,,Limited human cases and complex transmission cycle
Arthritis,Disorder,joint pain; weakness; muscle pain; back pain; swelling,No,,Autoimmune and degenerative joint condition
West Nile Virus,Disease,weight loss; fever; malaise; night sweats,No,,Limited human cases and complex transmission cycle
Treponema pallidum,Bacteria,joint pain; stiffness; swelling; muscle pain; back pain; malaise,No,,Complex immune evasion mechanisms
Campylobacter,Bacteria,muscle pain; weight loss; fever; stiffness,No,,Complex bacterial structure
Borrelia burgdorferi,Bacteria,weight loss; muscle pain; chills; joint pain; night sweats,No,,Previous vaccine withdrawn due to concerns
Rabies,Disease,fever; fatigue; night sweats; chills,Yes,Rabies Vaccine,
Obsessive Compulsive Disorder,Disorder,chills; weight loss; fever; night sweats,No,,Vaccine development not prioritized
Bipolar Disorder,Disorder,fever; night sweats; chills; malaise; weight loss; fatigue,No,,Mental health condition
Clostridium botulinum,Bacteria,muscle pain; fatigue; weakness; night sweats; weight loss,No,,"Toxin-mediated disease, limited cases"
Vibrio cholerae,Bacteria,stiffness; malaise; back pain; muscle pain,Yes,Cholera Vaccine,
Plague,Disease,malaise; fever; chills; night sweats; weight loss,No,,Vaccine development not prioritized
Chronic Obstructive Pulmonary Disease,Disorder,chills; malaise; fever; weight loss; fatigue; night sweats,No,,Vaccine development not prioritized
Polio,Disease,chills; fever; malaise; night sweats; weight loss; fatigue,Yes,Polio Vaccine,
Rubella,Disease,malaise; night sweats; chills; fatigue; weight loss; fever,Yes,MMR Vaccine,
Tuberculosis,Disease,night sweats; chills; fever; fatigue,Yes,BCG Vaccine,
Epstein-Barr Virus,Virus,fever; malaise; dizziness,No,,"Causes lifelong infection, vaccine development challenging"
Pituitary Disorders,Disorder,fever; weight loss; night sweats; fatigue; chills,No,,Endocrine disorders
Shingles,Disease,chills; fever; malaise; fatigue; night sweats,No,,Vaccine development not prioritized
Legionella pneumophila,Bacteria,muscle pain; malaise; stiffness; back pain,No,,Environmental bacterium with limited human cases
Mumps,Disease,malaise; weight loss; night sweats; chills; fever,Yes,MMR Vaccine,
Swine Flu,Disease,fever; cough; wheezing,No,,"Similar to seasonal flu, covered by existing influenza vaccines"
Epstein-Barr Virus,Virus,tingling; fever; confusion; memory loss,No,,"Causes lifelong infection, vaccine development challenging"
Diabetes Mellitus,Disorder,chills; fever; malaise; weight loss; fatigue,No,,Vaccine development not prioritized
Diphtheria,Disease,chills; night sweats; malaise; weight loss; fever,Yes,Tdap Vaccine,
Depression,Disorder,fatigue; weight loss; malaise; fever; night sweats,No,,Mental health condition with multiple causes
Post-Traumatic Stress Disorder,Disorder,chills; weight loss; night sweats,No,,Vaccine development not prioritized
Hepatitis B,Disease,chills; night sweats; weight loss; malaise; fever,Yes,Hepatitis B Vaccine,
Herpes Simplex Virus,Virus,redness; hair loss; blisters; itching; rash; dry skin,No,,Vaccine development not prioritized
SARS,Disease,chills; night sweats; fever; malaise,No,,"Disease eradicated in humans, no ongoing need for vaccine"
Pertussis,Disease,fever; weight loss; night sweats,Yes,Tdap Vaccine,
SARS,Disease,night sweats; fever; malaise; weight loss; fatigue,No,,"Disease eradicated in humans, no ongoing need for vaccine"
Osteoporosis,Disorder,fever; weight loss; night sweats; chills,No,,Bone density disorder from aging and lifestyle
Clostridium difficile,Bacteria,joint pain; swelling; night sweats; fever; muscle pain; back pain,No,,Bacterial toxin-mediated disease
Pseudomonas aeruginosa,Bacteria,chills; weakness; swelling; weight loss,No,,Opportunistic pathogen in immunocompromised patients
Avian Flu,Disease,sore throat; runny nose; wheezing; fever; chest pain; shortness of breath,No,,Rapid mutation and limited human transmission
